Ω√ØÃﬂ#2
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX),’∞ªﬁ∞∫›Œﬂ∞»›ƒ1,’∞ªﬁ∞∫›Œﬂ∞»›ƒ2
23,23,0.00144905399065465,-0.00406362162902951,0.00261456775479019,0.000568747927900404,-0.00268863281235099,-0.00112395919859409,0,0
24,24,0.000461253017419949,-0.000749528524465859,0.00028827550704591,0.00032345755607821,-0.000291280943201855,-0.000153032189700752,0,0
25,25,1.03323202438332e-06,-1.80751055722794e-06,7.74278589688038e-07,5.11640109834843e-07,4.96209395350888e-07,2.96817614930944e-09,0,0
26,26,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,0,0
28,28,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0
31,31,0.00398004427552223,-0.0145027153193951,0.0105226710438728,0.000406083039706573,-0.00288352859206498,0.0003622742369771,0,0
32,32,0.00232212408445776,-0.00790783856064081,0.00558571424335241,-0.000123842168250121,-0.00433154497295618,-0.000313783006276935,0,0
33,33,0.000783195660915226,-0.00218259519897401,0.00139939959626645,4.46264220954617e-06,-0.00140735320746899,-0.000210274374694563,0,0
34,34,3.04547265841393e-05,-8.75834011822008e-05,5.71286727790721e-05,-2.26376596401678e-05,-8.16970568848774e-05,2.25843541556969e-06,0,0
35,35,0,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0
41,41,0.00198275619186461,-0.0060111959464848,0.00402843952178955,0.000212611892493442,-0.000211746199056506,-0.0011511571938172,0,0
42,42,0.00118943327106535,-0.00292812590487301,0.00173869275022298,4.55493536719587e-05,-0.000397965952288359,-0.000599640130531043,0,0
43,43,0.000126596947666258,-0.000304439046885818,0.000177842099219561,-1.27775792861939e-05,-9.81378325377591e-05,-7.73376887082122e-05,0,0
44,44,0,0,0,0,0,0,0,0
45,45,0,0,0,0,0,0,0,0
46,46,0,0,0,0,0,0,0,0
47,47,0,0,0,0,0,0,0,0
48,48,0,0,0,0,0,0,0,0
49,49,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0
51,51,-0.00132332637440413,0.00361219723708928,-0.00228887074626982,-7.07514409441501e-05,0.000560515560209751,-0.00120084336958826,0,0
52,52,-0.000751294894143939,0.00177177402656525,-0.00102047913242131,8.28411866677925e-05,0.000567023002076894,-0.00051791372243315,0,0
53,53,-0.000125399616081268,0.000241493864450604,-0.000116094248369336,4.27809754910413e-05,8.20679852040485e-05,-6.45388208795339e-05,0,0
54,54,0,0,0,0,0,0,0,0
55,55,0,0,0,0,0,0,0,0
56,56,0,0,0,0,0,0,0,0
57,57,0,0,0,0,0,0,0,0
58,58,0,0,0,0,0,0,0,0
59,59,0,0,0,0,0,0,0,0
60,60,0,0,0,0,0,0,0,0
61,61,0,0,0,0,0,0,0,0
62,62,0,0,0,0,0,0,0,0
63,63,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0
65,65,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0
67,67,0,0,0,0,0,0,0,0
68,68,0,0,0,0,0,0,0,0
69,69,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0
71,71,0,0,0,0,0,0,0,0
72,72,0,0,0,0,0,0,0,0
73,73,0,0,0,0,0,0,0,0
74,74,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0
76,76,0,0,0,0,0,0,0,0
77,77,0,0,0,0,0,0,0,0
78,78,0,0,0,0,0,0,0,0
79,79,0,0,0,0,0,0,0,0
80,80,0,0,0,0,0,0,0,0
81,81,0,0,0,0,0,0,0,0
82,82,0,0,0,0,0,0,0,0
83,83,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0
85,85,0,0,0,0,0,0,0,0
86,86,0,0,0,0,0,0,0,0
87,87,0,0,0,0,0,0,0,0
88,88,0,0,0,0,0,0,0,0
89,89,0,0,0,0,0,0,0,0
90,90,0,0,0,0,0,0,0,0
91,91,0,0,0,0,0,0,0,0
92,92,0,0,0,0,0,0,0,0
93,93,0,0,0,0,0,0,0,0
94,94,0,0,0,0,0,0,0,0
95,95,0,0,0,0,0,0,0,0
96,96,0,0,0,0,0,0,0,0
97,97,0,0,0,0,0,0,0,0
98,98,0,0,0,0,0,0,0,0
99,99,0,0,0,0,0,0,0,0
100,100,0,0,0,0,0,0,0,0
101,101,0,0,0,0,0,0,0,0
102,102,0,0,0,0,0,0,0,0
103,103,0,0,0,0,0,0,0,0
104,104,0,0,0,0,0,0,0,0
105,105,0,0,0,0,0,0,0,0
106,106,0,0,0,0,0,0,0,0
107,107,0,0,0,0,0,0,0,0
108,108,0,0,0,0,0,0,0,0
109,109,0,0,0,0,0,0,0,0
110,110,0,0,0,0,0,0,0,0
111,111,0,0,0,0,0,0,0,0
112,112,0,0,0,0,0,0,0,0
113,113,0,0,0,0,0,0,0,0
114,114,0,0,0,0,0,0,0,0
115,115,0,0,0,0,0,0,0,0
116,116,0,0,0,0,0,0,0,0
117,117,0,0,0,0,0,0,0,0
118,118,0,0,0,0,0,0,0,0
119,119,0,0,0,0,0,0,0,0
120,120,0,0,0,0,0,0,0,0
121,121,0,0,0,0,0,0,0,0
122,122,0,0,0,0,0,0,0,0
123,123,0,0,0,0,0,0,0,0
124,124,0,0,0,0,0,0,0,0
125,125,0,0,0,0,0,0,0,0
126,126,0,0,0,0,0,0,0,0
127,127,0,0,0,0,0,0,0,0
128,128,0,0,0,0,0,0,0,0
129,129,0,0,0,0,0,0,0,0
130,130,0,0,0,0,0,0,0,0
131,131,0,0,0,0,0,0,0,0
132,132,0,0,0,0,0,0,0,0
133,133,0,0,0,0,0,0,0,0
134,134,0,0,0,0,0,0,0,0
135,135,0,0,0,0,0,0,0,0
136,136,0,0,0,0,0,0,0,0
137,137,0,0,0,0,0,0,0,0
138,138,0,0,0,0,0,0,0,0
139,139,0,0,0,0,0,0,0,0
140,140,0,0,0,0,0,0,0,0
141,141,0,0,0,0,0,0,0,0
142,142,0,0,0,0,0,0,0,0
143,143,0,0,0,0,0,0,0,0
144,144,0,0,0,0,0,0,0,0
145,145,0,0,0,0,0,0,0,0
146,146,0,0,0,0,0,0,0,0
147,147,0,0,0,0,0,0,0,0
148,148,0,0,0,0,0,0,0,0
149,149,0,0,0,0,0,0,0,0
150,150,0,0,0,0,0,0,0,0
151,151,0,0,0,0,0,0,0,0
152,152,0,0,0,0,0,0,0,0
153,153,0,0,0,0,0,0,0,0
154,154,0,0,0,0,0,0,0,0
155,155,0,0,0,0,0,0,0,0
156,156,0,0,0,0,0,0,0,0
157,157,0,0,0,0,0,0,0,0
158,158,0,0,0,0,0,0,0,0
159,159,0,0,0,0,0,0,0,0
160,160,0,0,0,0,0,0,0,0
161,161,0,0,0,0,0,0,0,0
162,162,0,0,0,0,0,0,0,0
163,163,0,0,0,0,0,0,0,0
164,164,0,0,0,0,0,0,0,0
165,165,0,0,0,0,0,0,0,0
166,166,0,0,0,0,0,0,0,0
167,167,0,0,0,0,0,0,0,0
168,168,0,0,0,0,0,0,0,0
169,169,-0.00486937072128057,-0.0212725140154362,0.0261418856680393,-0.000932074442971498,-0.00350422086194158,-0.00222095777280629,0,0
170,170,-0.00454839086160064,-0.0196267999708652,0.0241751912981272,0.00832135137170553,-0.0109968539327383,-0.00385456066578627,0,0
171,171,-0.00266305613331497,-0.00943264551460743,0.012095701880753,0.0077903107739985,-0.0100617315620184,-0.00287608779035509,0,0
172,172,-0.00101574778091162,-0.000458272523246706,0.00147402030415833,-0.00562016014009714,-0.00188281864393502,0.00128124607726932,0,0
173,173,-0.000267456984147429,0.000400066695874557,-0.000132609697175212,-0.00122329231817275,-8.73184035299346e-05,-8.99862134247087e-05,0,0
174,174,2.68191488430602e-05,-0.000128582716570236,0.000101763565908186,-0.000292089796857908,-3.09700590150896e-05,-6.16375473327935e-06,0,0
175,175,0,0,0,0,0,0,0,0
176,176,0,0,0,0,0,0,0,0
177,177,0,0,0,0,0,0,0,0
178,178,0,0,0,0,0,0,0,0
179,179,-0.00564545625820756,-0.0220582280308008,0.0277036838233471,0.000767496123444289,-0.00802974309772253,-0.0114612281322479,0,0
180,180,-0.00458515342324972,-0.0169551018625498,0.0215402562171221,0.00753252161666751,-0.0182818304747343,-0.0107585620135069,0,0
181,181,-0.00244864542037249,-0.00639924732968211,0.00884789228439331,0.00264151371084154,-0.0119979651644826,-0.0022434857673943,0,0
182,182,-0.000595491263084114,-8.00712732598186e-05,0.000675562536343932,-0.00390464207157493,-0.00146763992961496,0.000859187624882907,0,0
183,183,-0.00013874820433557,0.00010256049426971,3.61877064278815e-05,-0.000654379720799625,-0.000184873468242586,-2.12582217500312e-05,0,0
184,184,1.57659133037669e-06,-7.83296582085313e-06,6.2563740357291e-06,-1.50390296767e-05,-1.0547411193329e-06,-7.9124930607577e-07,0,0
185,185,0,0,0,0,0,0,0,0
186,186,0,0,0,0,0,0,0,0
187,187,0,0,0,0,0,0,0,0
188,188,0,0,0,0,0,0,0,0
189,189,-0.00398597586899996,-0.019469091668725,0.0234550666064024,0.00143125746399164,-0.00720535544678569,-0.00614123279228806,0,0
190,190,-0.00261852657422423,-0.0132815027609468,0.0159000288695097,0.00210507470183074,-0.0132297603413463,-0.00287265982478857,0,0
191,191,-0.000888723181560636,-0.00439926283434033,0.00528798624873161,-0.000124236743431538,-0.00620584888383746,0.000436857400927693,0,0
192,192,-0.000227065567742102,-0.00010364538320573,0.00033071095822379,-0.00156816584058106,-0.000804470211733133,0.000318605161737651,0,0
193,193,5.84855479246471e-06,-5.66576454730239e-05,5.08090924995486e-05,-0.000137388764414936,-2.60909146163613e-05,-1.84499378974579e-06,0,0
194,194,0,0,0,0,0,0,0,0
195,195,0,0,0,0,0,0,0,0
196,196,0,0,0,0,0,0,0,0
197,197,0,0,0,0,0,0,0,0
198,198,0,0,0,0,0,0,0,0
199,199,-0.000236977415625006,-0.0146852126345038,0.0149221895262599,-1.1953524335695e-05,-0.00430844444781542,0.0035848414991051,0,0
200,200,0.000135871072416194,-0.00809177104383707,0.00795589946210384,-0.000669539207592607,-0.00618372159078717,0.00204278528690338,0,0
201,201,0.000399672368075699,-0.00166952540166676,0.00126985309179872,-0.000602158019319177,-0.00144952349364758,0.000226691277930513,0,0
202,202,8.57364284456708e-07,-3.60727267434413e-06,2.74990838988742e-06,-5.72685439692577e-06,-5.33212869413546e-07,3.90212619549857e-07,0,0
203,203,0,0,0,0,0,0,0,0
204,204,0,0,0,0,0,0,0,0
205,205,0,0,0,0,0,0,0,0
206,206,0,0,0,0,0,0,0,0
207,207,0,0,0,0,0,0,0,0
208,208,0,0,0,0,0,0,0,0
209,209,0.00147240096703172,-0.00727927312254906,0.00580687215551734,-0.000626464257948101,-0.000687903899233788,0.00100168329663575,0,0
210,210,0.00064802763517946,-0.00199307734146714,0.001345049822703,-0.00113358907401562,-0.000428095285315067,0.000229939541895874,0,0
211,211,0,0,0,0,0,0,0,0
212,212,0,0,0,0,0,0,0,0
213,213,0,0,0,0,0,0,0,0
214,214,0,0,0,0,0,0,0,0
215,215,0,0,0,0,0,0,0,0
216,216,0,0,0,0,0,0,0,0
217,217,0,0,0,0,0,0,0,0
218,218,0,0,0,0,0,0,0,0
219,219,-0.000423941732151434,0.00254312064498663,-0.00211917888373137,0.000219624693272635,0.000294026656774804,-0.000384732702514157,0,0
220,220,-0.000336290249833837,0.00117538322228938,-0.000839093059767038,0.000314055505441502,0.000246103998506442,-0.000258765532635152,0,0
221,221,-9.26505672396161e-05,0.000244185939664021,-0.000151535365148447,0.000116357376100495,0.000104551523691043,-6.13680385868065e-05,0,0
222,222,0,0,0,0,0,0,0,0
223,223,0,0,0,0,0,0,0,0
224,224,0,0,0,0,0,0,0,0
225,225,0,0,0,0,0,0,0,0
226,226,0,0,0,0,0,0,0,0
227,227,0,0,0,0,0,0,0,0
228,228,0,0,0,0,0,0,0,0
229,229,0,0,0,0,0,0,0,0
230,230,0,0,0,0,0,0,0,0
231,231,0,0,0,0,0,0,0,0
232,232,0,0,0,0,0,0,0,0
233,233,0,0,0,0,0,0,0,0
234,234,0,0,0,0,0,0,0,0
235,235,0,0,0,0,0,0,0,0
236,236,0,0,0,0,0,0,0,0
237,237,0,0,0,0,0,0,0,0
238,238,0,0,0,0,0,0,0,0
239,239,0,0,0,0,0,0,0,0
240,240,0,0,0,0,0,0,0,0
241,241,0,0,0,0,0,0,0,0
242,242,0,0,0,0,0,0,0,0
243,243,0,0,0,0,0,0,0,0
244,244,0,0,0,0,0,0,0,0
245,245,0,0,0,0,0,0,0,0
246,246,0,0,0,0,0,0,0,0
247,247,0,0,0,0,0,0,0,0
248,248,0,0,0,0,0,0,0,0
249,249,0,0,0,0,0,0,0,0
250,250,0,0,0,0,0,0,0,0
251,251,0,0,0,0,0,0,0,0
252,252,0,0,0,0,0,0,0,0
253,253,0,0,0,0,0,0,0,0
254,254,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0
256,256,0,0,0,0,0,0,0,0
257,257,0,0,0,0,0,0,0,0
258,258,0,0,0,0,0,0,0,0
259,259,0,0,0,0,0,0,0,0
260,260,0,0,0,0,0,0,0,0
261,261,0,0,0,0,0,0,0,0
262,262,0,0,0,0,0,0,0,0
263,263,0,0,0,0,0,0,0,0
264,264,0,0,0,0,0,0,0,0
265,265,0,0,0,0,0,0,0,0
266,266,0,0,0,0,0,0,0,0
267,267,0,0,0,0,0,0,0,0
268,268,0,0,0,0,0,0,0,0
269,269,0,0,0,0,0,0,0,0
270,270,0,0,0,0,0,0,0,0
271,271,0,0,0,0,0,0,0,0
272,272,0,0,0,0,0,0,0,0
273,273,0,0,0,0,0,0,0,0
274,274,0,0,0,0,0,0,0,0
275,275,0,0,0,0,0,0,0,0
276,276,0,0,0,0,0,0,0,0
277,277,0,0,0,0,0,0,0,0
278,278,0,0,0,0,0,0,0,0
279,279,0,0,0,0,0,0,0,0
280,280,0,0,0,0,0,0,0,0
281,281,0,0,0,0,0,0,0,0
282,282,0,0,0,0,0,0,0,0
283,283,0,0,0,0,0,0,0,0
284,284,0,0,0,0,0,0,0,0
285,285,0,0,0,0,0,0,0,0
286,286,0,0,0,0,0,0,0,0
287,287,0,0,0,0,0,0,0,0
288,288,0,0,0,0,0,0,0,0
289,289,0,0,0,0,0,0,0,0
290,290,0,0,0,0,0,0,0,0
291,291,0,0,0,0,0,0,0,0
292,292,0,0,0,0,0,0,0,0
293,293,0,0,0,0,0,0,0,0
294,294,0,0,0,0,0,0,0,0
295,295,0,0,0,0,0,0,0,0
296,296,0,0,0,0,0,0,0,0
297,297,0,0,0,0,0,0,0,0
298,298,0,0,0,0,0,0,0,0
299,299,0,0,0,0,0,0,0,0
300,300,0,0,0,0,0,0,0,0
301,301,0,0,0,0,0,0,0,0
302,302,0,0,0,0,0,0,0,0
303,303,0,0,0,0,0,0,0,0
304,304,0,0,0,0,0,0,0,0
305,305,0,0,0,0,0,0,0,0
306,306,0,0,0,0,0,0,0,0
307,307,0,0,0,0,0,0,0,0
308,308,0,0,0,0,0,0,0,0
309,309,0,0,0,0,0,0,0,0
310,310,0,0,0,0,0,0,0,0
311,311,0,0,0,0,0,0,0,0
312,312,0,0,0,0,0,0,0,0
313,313,0,0,0,0,0,0,0,0
314,314,0,0,0,0,0,0,0,0
315,315,0,0,0,0,0,0,0,0
316,316,0,0,0,0,0,0,0,0
317,317,0,0,0,0,0,0,0,0
318,318,0,0,0,0,0,0,0,0
319,319,0,0,0,0,0,0,0,0
320,320,0,0,0,0,0,0,0,0
321,321,0,0,0,0,0,0,0,0
322,322,0,0,0,0,0,0,0,0
323,323,0,0,0,0,0,0,0,0
324,324,0,0,0,0,0,0,0,0
325,325,0,0,0,0,0,0,0,0
326,326,0,0,0,0,0,0,0,0
327,327,0,0,0,0,0,0,0,0
328,328,0,0,0,0,0,0,0,0
329,329,0,0,0,0,0,0,0,0
330,330,0,0,0,0,0,0,0,0
331,331,0,0,0,0,0,0,0,0
332,332,0,0,0,0,0,0,0,0
333,333,0,0,0,0,0,0,0,0
334,334,0,0,0,0,0,0,0,0
335,335,0,0,0,0,0,0,0,0
336,336,0,0,0,0,0,0,0,0
337,337,-0.0032563772983849,-0.0211643204092979,0.0244206972420216,0.000190254300832748,-0.00449014874175191,-0.00124864291865379,0,0
338,338,-0.00423091230913997,-0.0197534821927547,0.023984394967556,0.0114233028143644,-0.0114650344476104,-0.00499616889283061,0,0
339,339,-0.00357743282802403,-0.0127964671701193,0.0163739006966352,0.0148046147078276,-0.0095020392909646,-0.00335310632362962,0,0
340,340,-0.00187930464744568,-0.00222764234058559,0.00410694675520062,-0.000579570245463401,-0.00255995010957122,0.000846933166030794,0,0
341,341,-0.000599399383645505,0.000882939493749291,-0.000283540080999956,-0.0010679280385375,-0.000231411497225054,-0.000197448345716111,0,0
342,342,3.94965281884652e-05,-0.000107202169601806,6.77056377753615e-05,-0.000234805003856309,-5.03552182635758e-05,-2.20076690311544e-05,0,0
343,343,0,0,0,0,0,0,0,0
344,344,0,0,0,0,0,0,0,0
345,345,0,0,0,0,0,0,0,0
346,346,0,0,0,0,0,0,0,0
347,347,-0.00491972826421261,-0.0218445751816034,0.026764303445816,-0.000730367377400398,-0.00723250489681959,-0.0139096118509769,0,0
348,348,-0.00487437006086111,-0.0184400640428066,0.0233144350349903,0.00799829978495836,-0.0184195674955845,-0.0146427825093269,0,0
349,349,-0.00369578483514488,-0.00876867584884167,0.0124644609168172,0.00690992688760161,-0.0146307945251465,-0.00590088032186031,0,0
350,350,-0.0012841314310208,-0.000696070666890591,0.00198020203970373,-0.0011412383755669,-0.0027221969794482,0.000411498418543488,0,0
351,351,-0.000366546213626862,0.000335353950504214,3.11922776745632e-05,-0.000792251725215465,-0.000608074071351439,-0.000206232405616902,0,0
352,352,0,0,0,0,0,0,0,0
353,353,0,0,0,0,0,0,0,0
354,354,0,0,0,0,0,0,0,0
355,355,0,0,0,0,0,0,0,0
356,356,0,0,0,0,0,0,0,0
357,357,-0.0054855365306139,-0.0198379531502724,0.0253234896808863,0.000560271262656897,-0.00776431662961841,-0.0124060837551951,0,0
358,358,-0.00495665613561869,-0.0144750224426389,0.0194316785782576,0.00237453216686845,-0.0153331505134702,-0.00980171095579863,0,0
359,359,-0.00266667851246893,-0.00577893294394016,0.00844561122357845,0.000234115083003417,-0.00917921215295792,-0.00254387804307044,0,0
360,360,-0.000625963031779975,-0.00021489048958756,0.000840853492263705,-0.000864148139953613,-0.00140187446959317,2.73083624051651e-05,0,0
361,361,-0.000141734242788516,7.41741678211838e-05,6.75600822432898e-05,-0.000192850988241844,-0.000123161808005534,-2.25464009417919e-05,0,0
362,362,0,0,0,0,0,0,0,0
363,363,0,0,0,0,0,0,0,0
364,364,0,0,0,0,0,0,0,0
365,365,0,0,0,0,0,0,0,0
366,366,0,0,0,0,0,0,0,0
367,367,-0.00547366449609399,-0.014806779101491,0.0202804431319237,3.99171694880351e-05,-0.00588604249060154,-0.00256089027971029,0,0
368,368,-0.00382925570011139,-0.00871364027261734,0.0125428959727287,-0.000702699646353722,-0.00835998263210058,0.00027710068388842,0,0
369,369,-0.00134624703787267,-0.00208142143674195,0.00342766847461462,-0.00099796918220818,-0.00238198018632829,0.000605674285907298,0,0
370,370,-0.000215166641282849,1.68900351127377e-05,0.00019827661162708,-0.000181193929165602,-6.62813690723851e-05,4.10866377933417e-05,0,0
371,371,0,0,0,0,0,0,0,0
372,372,0,0,0,0,0,0,0,0
373,373,0,0,0,0,0,0,0,0
374,374,0,0,0,0,0,0,0,0
375,375,0,0,0,0,0,0,0,0
376,376,0,0,0,0,0,0,0,0
377,377,-0.00302778324112296,-0.00831605307757854,0.0113438358530402,-0.000769089790992439,-0.000265450828010216,0.00212141312658787,0,0
378,378,-0.00159594847355038,-0.00231732660904527,0.00391327496618032,-0.000767362595070153,0.00078472716268152,0.000983200967311859,0,0
379,379,-0.000174605200299993,-5.0515923248895e-06,0.000179656781256199,-8.76328413141891e-05,0.000162251730216667,8.7043023086153e-05,0,0
380,380,0,0,0,0,0,0,0,0
381,381,0,0,0,0,0,0,0,0
382,382,0,0,0,0,0,0,0,0
383,383,0,0,0,0,0,0,0,0
384,384,0,0,0,0,0,0,0,0
385,385,0,0,0,0,0,0,0,0
386,386,0,0,0,0,0,0,0,0
387,387,-0.000660238845739514,0.00159720669034868,-0.000936967844609171,0.000213881241506897,0.000351487018633634,0.000433541717939079,0,0
388,388,-0.000522570917382836,0.00107247661799192,-0.000549905758816749,0.000363868428394198,0.000473763211630285,0.000220502144657075,0,0
389,389,-0.000204723663046025,0.000385921099223197,-0.000181197450729087,0.000175679204403423,0.000213071267353371,5.77686951146461e-05,0,0
390,390,0,0,0,0,0,0,0,0
391,391,0,0,0,0,0,0,0,0
392,392,0,0,0,0,0,0,0,0
393,393,0,0,0,0,0,0,0,0
394,394,0,0,0,0,0,0,0,0
395,395,0,0,0,0,0,0,0,0
396,396,0,0,0,0,0,0,0,0
397,397,0,0,0,0,0,0,0,0
398,398,0,0,0,0,0,0,0,0
399,399,0,0,0,0,0,0,0,0
400,400,0,0,0,0,0,0,0,0
401,401,0,0,0,0,0,0,0,0
402,402,0,0,0,0,0,0,0,0
403,403,0,0,0,0,0,0,0,0
404,404,0,0,0,0,0,0,0,0
405,405,0,0,0,0,0,0,0,0
406,406,0,0,0,0,0,0,0,0
407,407,0,0,0,0,0,0,0,0
408,408,0,0,0,0,0,0,0,0
409,409,0,0,0,0,0,0,0,0
410,410,0,0,0,0,0,0,0,0
411,411,0,0,0,0,0,0,0,0
412,412,0,0,0,0,0,0,0,0
413,413,0,0,0,0,0,0,0,0
414,414,0,0,0,0,0,0,0,0
415,415,0,0,0,0,0,0,0,0
416,416,0,0,0,0,0,0,0,0
417,417,0,0,0,0,0,0,0,0
418,418,0,0,0,0,0,0,0,0
419,419,0,0,0,0,0,0,0,0
420,420,0,0,0,0,0,0,0,0
421,421,0,0,0,0,0,0,0,0
422,422,0,0,0,0,0,0,0,0
423,423,0,0,0,0,0,0,0,0
424,424,0,0,0,0,0,0,0,0
425,425,0,0,0,0,0,0,0,0
426,426,0,0,0,0,0,0,0,0
427,427,0,0,0,0,0,0,0,0
428,428,0,0,0,0,0,0,0,0
429,429,0,0,0,0,0,0,0,0
430,430,0,0,0,0,0,0,0,0
431,431,0,0,0,0,0,0,0,0
432,432,0,0,0,0,0,0,0,0
433,433,0,0,0,0,0,0,0,0
434,434,0,0,0,0,0,0,0,0
435,435,0,0,0,0,0,0,0,0
436,436,0,0,0,0,0,0,0,0
437,437,0,0,0,0,0,0,0,0
438,438,0,0,0,0,0,0,0,0
439,439,0,0,0,0,0,0,0,0
440,440,0,0,0,0,0,0,0,0
441,441,0,0,0,0,0,0,0,0
442,442,0,0,0,0,0,0,0,0
443,443,0,0,0,0,0,0,0,0
444,444,0,0,0,0,0,0,0,0
445,445,0,0,0,0,0,0,0,0
446,446,0,0,0,0,0,0,0,0
447,447,0,0,0,0,0,0,0,0
448,448,0,0,0,0,0,0,0,0
449,449,0,0,0,0,0,0,0,0
450,450,0,0,0,0,0,0,0,0
451,451,0,0,0,0,0,0,0,0
452,452,0,0,0,0,0,0,0,0
453,453,0,0,0,0,0,0,0,0
454,454,0,0,0,0,0,0,0,0
455,455,0,0,0,0,0,0,0,0
456,456,0,0,0,0,0,0,0,0
457,457,0,0,0,0,0,0,0,0
458,458,0,0,0,0,0,0,0,0
459,459,0,0,0,0,0,0,0,0
460,460,0,0,0,0,0,0,0,0
461,461,0,0,0,0,0,0,0,0
462,462,0,0,0,0,0,0,0,0
463,463,0,0,0,0,0,0,0,0
464,464,0,0,0,0,0,0,0,0
465,465,0,0,0,0,0,0,0,0
466,466,0,0,0,0,0,0,0,0
467,467,0,0,0,0,0,0,0,0
468,468,0,0,0,0,0,0,0,0
469,469,0,0,0,0,0,0,0,0
470,470,0,0,0,0,0,0,0,0
471,471,0,0,0,0,0,0,0,0
472,472,0,0,0,0,0,0,0,0
473,473,0,0,0,0,0,0,0,0
474,474,0,0,0,0,0,0,0,0
475,475,0,0,0,0,0,0,0,0
476,476,0,0,0,0,0,0,0,0
477,477,0,0,0,0,0,0,0,0
478,478,0,0,0,0,0,0,0,0
479,479,0,0,0,0,0,0,0,0
480,480,0,0,0,0,0,0,0,0
481,481,0,0,0,0,0,0,0,0
482,482,0,0,0,0,0,0,0,0
483,483,0,0,0,0,0,0,0,0
484,484,0,0,0,0,0,0,0,0
485,485,0,0,0,0,0,0,0,0
486,486,0,0,0,0,0,0,0,0
487,487,0,0,0,0,0,0,0,0
488,488,0,0,0,0,0,0,0,0
489,489,0,0,0,0,0,0,0,0
